NIN ID,Facility Name,FACILITY_TYPE,State,District,Taluka,Block,Entry Month,Individuals empanelled,Community Based Assessment Checklist filled,HTN Individuals screened Male,HTN Individuals screened Female,HTN Individuals screened Other,HTN Newly diagnosed Male,HTN Newly diagnosed Female,HTN Newly diagnosed Other,HTN On treatment Male,HTN On treatment Female,HTN On treatment Other,DM Individuals screened Male,DM Individuals screened Female,DM Individuals screened Other,DM Newly diagnosed Male,DM Newly diagnosed Female,DM Newly diagnosed Other,DM On treatment Male,DM On treatment Female,DM On treatment Other,OC Individuals screened Male,OC Individuals screened Female,OC Individuals screened Other,OC Newly diagnosed Male,OC Newly diagnosed Female,OC Newly diagnosed Other,OC On treatment male,OC On treatment Female,OC On treatment Other,BC Individuals screened female,BC Newly diagnosed female,BC On treatment female,CC Individuals screened female,CC Newly diagnosed female,CC On treatment female,Individuals referred for screening male,Individuals referred for screening female,Individuals referred for screening other,Newly diagnosed Male,Newly diagnosed Female,Newly diagnosed Other,On treatment Male,On treatment Female,On treatment Other,Total Patients received antihypertensive medicines at this centre,Total Patients received ant-diabetic medicines at this centre,Medicines_TPR_AO_M,Total TB patients received DOTS from the centre,Medicines_CSOM_EOM,Availability of functional BP apparatus,Availability of functional glucometer,Closing stock of glucostrips,Performance/team based incentives for MO/SN/CHO,Team based incentives for ASHA/MPW,JAS monthly meeting conducted,Data Source,Entry Date,Entry Update Date,Facility Type
4285645778,HSC Vassepur,SHC,Jharkhand,Dhanbad,DHANBAD-CUM-KENDUADIH-CUM-JAGATA,DHANBAD,31-05-24,268,40,66,84,0,2,1,0,9,15,0,34,50,0,1,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,1,1,0,0,0,N/A,0,N/A,Yes,Yes,80,Yes,Yes,No,WEB Portal,22-06-24 11:25,N/A,N/A
6748435358,HSC DANGAPARA,SHC,Jharkhand,Pakaur,AMRAPARA,AMRAPARA,31-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,0,No,No,No,Android APP,22-06-24 7:07,N/A,N/A
1435886583,HSC AMLADAHI,SHC,Jharkhand,Pakaur,MAHESHPUR,MAHESHPUR,31-05-24,407,91,44,47,0,0,0,0,13,19,0,44,47,0,0,0,0,9,13,0,44,47,0,0,0,0,0,0,0,35,0,0,15,0,0,4,4,0,0,1,0,4,2,0,10,4,0,0,0,Yes,Yes,0,No,No,No,Android APP,22-06-24 0:40,N/A,N/A
7432783624,HSC DOWARU,SHC,Jharkhand,Ranchi,SILLI,SILLI,31-05-24,314,60,46,41,0,2,1,0,4,1,0,48,41,0,3,1,0,3,2,0,42,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,1,0,5,4,N/A,0,N/A,Yes,Yes,47,Yes,No,No,WEB Portal,21-06-24 22:05,N/A,N/A
7834182334,HSC DANGAPARA,SHC,Jharkhand,Godda,SUNDARPAHARI,SUNDARPAHARI,31-05-24,303,0,16,104,0,0,0,0,0,0,0,16,104,0,0,0,0,0,0,0,16,104,0,0,0,0,0,0,0,104,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,125,No,No,No,Android APP,21-06-24 20:45,N/A,N/A
6548237434,HSC RAMPUR,SHC,Jharkhand,Pakaur,MAHESHPUR,MAHESHPUR,31-05-24,380,30,45,61,0,0,1,0,1,4,0,45,61,0,0,2,0,0,3,0,45,61,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,2,0,0,2,0,0,5,3,0,2,0,Yes,Yes,15,No,No,No,Android APP,21-06-24 19:05,N/A,N/A
2548683248,HSC MOHBONA,SHC,Jharkhand,Pakaur,MAHESHPUR,MAHESHPUR,31-05-24,440,25,55,50,0,0,0,0,1,6,0,47,50,0,0,0,0,5,1,0,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,1,1,8,7,4,0,7,6,0,11,0,Yes,Yes,105,No,No,No,Android APP,21-06-24 19:03,21-06-24 19:04,N/A
8382578618,HSC PAGDA,SHC,Jharkhand,Purbi Singhbhum,PATAMDA,PATAMDA,31-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,0,No,No,No,Android APP,21-06-24 18:48,N/A,N/A
7745372347,HSC UDAYPUR,SHC,Jharkhand,Dhanbad,GOBINDPUR ,GOBINDPUR,31-05-24,197,197,44,153,0,4,8,0,11,29,0,44,153,0,6,5,0,9,36,0,44,153,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,1,0,0,0,Yes,Yes,486,Yes,No,No,Android APP,21-06-24 17:21,21-06-24 17:22,N/A
7241824775,HSC KARANPURA,SHC,Jharkhand,Dumka,SARAIYAHAT,SARAIYAHAT,31-05-24,20,201,60,50,0,0,0,0,4,2,0,60,50,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,0,No,No,No,Android APP,21-06-24 15:17,N/A,N/A
