SN,NIN,Facility_Name,Facility_Type,State,District,Taluka,Block,Activity Name/Health Day Name ,Activity_Date,Event_name,Year
53,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,adolescent health day,(6th May 2024),"Other
",2024
54,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,monthly meeting at chc,(3rd May 2024),"Other
",2024
55,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,anc day ,(9th May 2024),"Other
",2024
56,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,celebrating world hand hygiene day,(10th May 2024),"Other
",2024
57,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,organised yoga session ,(11th May 2024),Yoga,2024
58,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,integrated disease survey supervision at my aam lakhipur area,(13th May 2024),"Other
",2024
59,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,sickle cell anemia screening at Gangiya Damin Bishunpur PATHNA ,(17th May 2024),"Other
",2024
60,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,dengu day,(16th May 2024),"Other
",2024
61,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,block level routine immunization strengthening work shop,(14th May 2024),"Other
",2024
62,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,sickle cell anemia screening ,(20th May 2024),"Other
",2024
63,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,family welfare day,(21st May 2024),"Other
",2024
64,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,monthly meeting at pathna block with BDO sir regarding election duty,(22nd May 2024),"Other
",2024
65,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,Menstrual Hygiene Day(28th May 2024),(28th May 2024),"Other
",2024
66,1111164867,HSC LAKHIPUR,SubCentre,Jharkhand,Sahibganj,PATHNA,PATHNA,World No Tobacco Day(31st May 2024),(31st May 2024),"Other
",2024
73,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,health talk ,(13th May 2024),Health talk,2024
74,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,world HTN day ,(17th May 2024),Special screening talk,2024
75,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,ncd screening ,(18th May 2024),"Other
",2024
76,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,aam meeting ,(20th May 2024),"Other
",2024
77,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,,(22nd May 2024),Yoga,2024
78,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,yoga,(23rd May 2024),Yoga,2024
79,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,ncd screening ,(24th May 2024),"Other
",2024
80,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,yoga,(25th May 2024),Yoga,2024
81,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,vhnd,(27th May 2024),"Other
",2024
82,1111433635,HSC NARGA,SubCentre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,Menstrual Hygiene Day(28th May 2024),(28th May 2024),"Other
",2024
85,1111652788,Agdonikhurd,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Health talk,2024
92,1111653687,Fulchi,SubCentre,Jharkhand,Giridih,GIRIDIH,,meeting,(25th May 2024),Community meeting,2024
105,1111653869,Jeetpur,SubCentre,Jharkhand,Giridih,GIRIDIH,,VHND meeting AAM JITPUR CHO Uday Kumar Saurav ,(2nd May 2024),Community meeting,2024
106,1111653869,Jeetpur,SubCentre,Jharkhand,Giridih,GIRIDIH,,Oral Screening HWC JITPUR Sadar block GIRIDIH ,(3rd May 2024),"Other
",2024
107,1111653869,Jeetpur,SubCentre,Jharkhand,Giridih,GIRIDIH,,Monthly meeting month April ,(6th May 2024),"Other
",2024
108,1111653869,Jeetpur,SubCentre,Jharkhand,Giridih,GIRIDIH,,Community Meeting ,(22nd May 2024),Community meeting,2024
109,1111653869,Jeetpur,SubCentre,Jharkhand,Giridih,GIRIDIH,,Adult BCG training by CS ,(27th May 2024),Health talk,2024
110,1111653869,Jeetpur,SubCentre,Jharkhand,Giridih,GIRIDIH,,Intensified Diarrhoea Control Fortnight(28th May 2024),(29th May 2024),"Special screening talk,Other
",2024
119,1111654370,Leda,SubCentre,Jharkhand,Giridih,GIRIDIH,,BCG ADULT TRAINING ,(27th May 2024),Health talk,2024
120,1111654370,Leda,SubCentre,Jharkhand,Giridih,GIRIDIH,,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Health talk,2024
121,1111654370,Leda,SubCentre,Jharkhand,Giridih,GIRIDIH,,Intensified Diarrhoea Control Fortnight(28th May 2024),(29th May 2024),Health talk,2024
136,1111666671,Parsatand,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Monthly meeting ,(6th May 2024),"Other
",2024
137,1111666671,Parsatand,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,VHND,(11th May 2024),"Other
",2024
138,1111666671,Parsatand,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,VHND,(16th May 2024),"Other
",2024
139,1111666671,Parsatand,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Adult BCG training ,(27th May 2024),Health talk,2024
140,1111666671,Parsatand,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Health talk,2024
146,1111666739,Ranidih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,health talk ,(4th May 2024),Special screening talk,2024
147,1111666739,Ranidih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,health talk ,(6th May 2024),Special screening talk,2024
148,1111666739,Ranidih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Community meeting,2024
149,1111666739,Ranidih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,sun stroke ,(24th May 2024),Health talk,2024
152,1111666853,Sainadoni,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Health talk ,(6th May 2024),Health talk,2024
153,1111666853,Sainadoni,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Personal Hygiene,(10th May 2024),Health talk,2024
154,1111666853,Sainadoni,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Community meeting,2024
155,1111666853,Sainadoni,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,sun stroke,(24th May 2024),Health talk,2024
156,1111666853,Sainadoni,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Intensified Diarrhoea Control Fortnight(28th May 2024),(30th May 2024),Community meeting,2024
163,1111667182,Simaria,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Health talk ,(24th May 2024),Health talk,2024
166,1111667240,Sihodih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,VHND,(16th May 2024),"Special screening talk,Health talk,Awareness activity about eat right",2024
167,1111667240,Sihodih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Awarenes program ,(17th May 2024),School visit,2024
180,1111667273,Telodih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,anc checkup ,(9th May 2024),Special screening talk,2024
181,1111667273,Telodih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,vhnd ,(11th May 2024),Special screening talk,2024
182,1111667273,Telodih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,family welfare day,(21st May 2024),Special screening talk,2024
183,1111667273,Telodih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,sickle cell screening ,(17th May 2024),Special screening talk,2024
184,1111667273,Telodih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,ncd screening ,(22nd May 2024),Special screening talk,2024
185,1111667273,Telodih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Special screening talk,2024
186,1111667273,Telodih,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Intensified Diarrhoea Control Fortnight(28th May 2024),(29th May 2024),Awareness activity about eat right,2024
198,1111667331,Udnabad,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,monthly meeting ,(4th May 2024),Community meeting,2024
199,1111667331,Udnabad,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,vhnc visit ,(2nd May 2024),"Other
",2024
200,1111667331,Udnabad,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,vhsnc,(16th May 2024),Community meeting,2024
201,1111667331,Udnabad,SubCentre,Jharkhand,Giridih,GIRIDIH,GIRIDIH,Menstrual Hygiene Day(28th May 2024),(28th May 2024),"Other
",2024
203,1111674329,Atki,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,World No Tobacco Day(31st May 2024),(31st May 2024),"Other
",2024
215,1111676332,KULGO,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,family walefairday,(21st May 2024),Awareness activity about eat right,2024
216,1111676332,KULGO,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,vhnc,(22nd May 2024),Community meeting,2024
217,1111676332,KULGO,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,school visit ,(23rd May 2024),School visit,2024
218,1111676332,KULGO,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,elderly chekup,(24th May 2024),Meditation,2024
219,1111676332,KULGO,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,Menstrual Hygiene Day(28th May 2024),(28th May 2024),"Other
",2024
220,1111676332,KULGO,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,Intensified Diarrhoea Control Fortnight(28th May 2024),(30th May 2024),"Other
",2024
230,1111677264,Pordag,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,hand washing ,(27th May 2024),"Other
",2024
231,1111677264,Pordag,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,Menstrual Hygiene Day(28th May 2024),(28th May 2024),"Other
",2024
232,1111677264,Pordag,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,World No Tobacco Day(31st May 2024),(31st May 2024),"Other
",2024
235,1111677355,Suiyadih,SubCentre,Jharkhand,Giridih,DUMRI,DUMRI,Yoga,(23rd May 2024),Yoga,2024
236,1111767651,HSC Lagma,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,meeting for JAS,(6th May 2024),"Other
",2024
265,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning exercise ,(17th May 2024),Yoga,2024
266,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,Dengue awareness program ,(16th May 2024),School visit,2024
267,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,OPD,(20th May 2024),Health talk,2024
268,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,family welfare day ,(22nd May 2024),Health talk,2024
269,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning exercise ,(23rd May 2024),Yoga,2024
270,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning exercise ,(24th May 2024),Health talk,2024
271,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning exercise ,(25th May 2024),Yoga,2024
272,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,morning time ,(27th May 2024),Health talk,2024
273,1111771737,HSC Jata,SubCentre,Jharkhand,Garhwa,GARHWA,GARHWA SADAR,Intensified Diarrhoea Control Fortnight(28th May 2024),(29th May 2024),Health talk,2024
277,1112227671,HSC NARAULI,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,yoga,(22nd May 2024),Yoga,2024
278,1112227671,HSC NARAULI,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Zumba,2024
279,1112227671,HSC NARAULI,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,zumba,(24th May 2024),Zumba,2024
280,1112227671,HSC NARAULI,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,play with children ,(25th May 2024),"Other
",2024
281,1112227671,HSC NARAULI,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,cycling ,(26th May 2024),Cyclathone,2024
282,1112227671,HSC NARAULI,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,exercise ,(27th May 2024),Yoga,2024
283,1112227671,HSC NARAULI,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Intensified Diarrhoea Control Fortnight(28th May 2024),(29th May 2024),Awareness activity about eat right,2024
284,1112227671,HSC NARAULI,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Intensified Diarrhoea Control Fortnight(28th May 2024),(30th May 2024),Meditation,2024
285,1112227671,HSC NARAULI,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Walkathon ,(23rd May 2024),walkathone,2024
286,1112227671,HSC NARAULI,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,World No Tobacco Day(31st May 2024),(31st May 2024),"Other
",2024
297,1112228182,HSC JAMGAIN,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Sickle cell Anemia ,(20th May 2024),School visit,2024
298,1112228182,HSC JAMGAIN,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Worms infestation ,(22nd May 2024),Community meeting,2024
299,1112228182,HSC JAMGAIN,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Hypertension day,(18th May 2024),Special screening talk,2024
300,1112228182,HSC JAMGAIN,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Nikshay Diwas,(24th May 2024),Special screening talk,2024
301,1112228182,HSC JAMGAIN,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Intensified Diarrhoea Control Fortnight(28th May 2024),(29th May 2024),Awareness activity about eat right,2024
302,1112228182,HSC JAMGAIN,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Health talk,2024
303,1112228182,HSC JAMGAIN,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Esanjeevni ,(23rd May 2024),Special screening talk,2024
304,1112228182,HSC JAMGAIN,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Family planning ,(25th May 2024),Health talk,2024
305,1112228182,HSC JAMGAIN,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,Intensified Diarrhoea Control Fortnight(28th May 2024),(30th May 2024),"Meditation,Yoga",2024
306,1112228182,HSC JAMGAIN,SubCentre,Jharkhand,Lohardaga,BHANDRA,BHANDRA,World No Tobacco Day(31st May 2024),(31st May 2024),"Other
",2024
314,1112228570,HSC Dipatoli Salgaposh,SubCentre,Jharkhand,Simdega,THETHAITANGAR,THETHAITANAGAR,elderly day,(18th May 2024),Special screening talk,2024
316,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,yoga,(4th May 2024),Yoga,2024
317,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,yoda,(6th May 2024),Yoga,2024
318,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,yoga,(7th May 2024),Yoga,2024
319,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,yoga,(8th May 2024),Yoga,2024
320,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,yoga,(9th May 2024),Yoga,2024
321,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,yoga,(10th May 2024),Yoga,2024
322,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,yoga,(11th May 2024),Yoga,2024
323,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,yoga,(14th May 2024),Yoga,2024
324,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,health talk ,(15th May 2024),Health talk,2024
325,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,yoga,(16th May 2024),Yoga,2024
326,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,community meeting ,(17th May 2024),Community meeting,2024
327,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,health teaching ,(18th May 2024),Health talk,2024
328,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,health tips ,(22nd May 2024),Health talk,2024
329,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,health tips ,(24th May 2024),Health talk,2024
330,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,health tips ,(25th May 2024),Health talk,2024
331,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Health talk,2024
332,1112244650,HSC Baliyari,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,Intensified Diarrhoea Control Fortnight(28th May 2024),(30th May 2024),Health talk,2024
334,1112245434,HSC Kharsota,SubCentre,Jharkhand,Garhwa,MAJHIAON,MAJHIAON,RI sections ,(9th May 2024),"Other
",2024
349,1112447519,UPHC Telidih,Urban Health Centre,Jharkhand,Bokaro,CHAS,CHAS,Adolescent day ,(8th May 2024),Health talk,2024
350,1112447519,UPHC Telidih,Urban Health Centre,Jharkhand,Bokaro,CHAS,CHAS,Anc checkup,(10th May 2024),Health talk,2024
351,1112447519,UPHC Telidih,Urban Health Centre,Jharkhand,Bokaro,CHAS,CHAS,elderly ,(18th May 2024),Health talk,2024
363,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,PMSMA at PHC ANANDPUR ,(9th May 2024),"Special screening talk,Yoga",2024
364,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,YOGA SESSION ,(7th May 2024),Yoga,2024
365,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,Yoga session ,(8th May 2024),Yoga,2024
366,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,International Nurses Day(12th May 2024),(12th May 2024),"Other
",2024
367,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,"World dangue day awareness program at AWC Narayan tola Anandpur, block -MANOHARPUR WEST SINGHBHUM ",(16th May 2024),Health talk,2024
368,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,world hypertension day celebrated ,(17th May 2024),"Special screening talk,Yoga",2024
369,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,ELDERLY HEALTH DAY ,(18th May 2024),"Special screening talk,Yoga",2024
370,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,yoga session ,(20th May 2024),Yoga,2024
371,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,yoga session ,(21st May 2024),"Health talk,Yoga",2024
372,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,yoga session ,(22nd May 2024),Yoga,2024
373,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,yoga session ,(23rd May 2024),Yoga,2024
374,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Health talk,2024
375,1112465180,HSC ANANDPUR,SubCentre,Jharkhand,Pashchimi Singhbhum,MANOHARPUR,MANOHARPUR,Intensified Diarrhoea Control Fortnight(28th May 2024),(30th May 2024),Special screening talk,2024
416,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,yoga session ,(13th May 2024),Yoga,2024
417,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,ri supervision ,(15th May 2024),"Other
",2024
418,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,Dengue day,(16th May 2024),"Other
",2024
419,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,,(19th May 2024),Yoga,2024
420,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,yoga ,(25th May 2024),Yoga,2024
421,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,yoga session ,(24th May 2024),Yoga,2024
422,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,Intensified Diarrhoea Control Fortnight(28th May 2024),(30th May 2024),"Other
",2024
423,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Yoga,2024
424,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,yoga session ,(27th May 2024),Yoga,2024
425,1115243428,HSC DHANADIH,SubCentre,Jharkhand,Dumka,JAMA,JAMA,World No Tobacco Day(31st May 2024),(31st May 2024),"Other
",2024
436,1115338137,UPHC Bazar Tand,Urban Health Centre,Jharkhand,Ramgarh,RAMGARH,RAMGARH,Intensified Diarrhoea Control Fortnight(28th May 2024),(29th May 2024),Health talk,2024
437,1115338137,UPHC Bazar Tand,Urban Health Centre,Jharkhand,Ramgarh,RAMGARH,RAMGARH,World No Tobacco Day(31st May 2024),(31st May 2024),Special screening talk,2024
445,1115338160,UPHC Patratu Basti,Urban Health Centre,Jharkhand,Ramgarh,RAMGARH,RAMGARH,Meditation ,(3rd May 2024),Meditation,2024
446,1115338160,UPHC Patratu Basti,Urban Health Centre,Jharkhand,Ramgarh,RAMGARH,RAMGARH,World No Tobacco Day(31st May 2024),(31st May 2024),Health talk,2024
458,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,Mahila aarogya samiti Meeting Regrinding Heat wave . ,(10th May 2024),Health talk,2024
459,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,UHND ,(11th May 2024),Special screening talk,2024
460,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,International Nurses Day(12th May 2024),(12th May 2024),Health talk,2024
461,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,Health awareness camp,(13th May 2024),"Other
",2024
462,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,Awareness program for Health Wave ,(15th May 2024),Health talk,2024
463,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR, National dengue day  Celebration ,(16th May 2024),Health talk,2024
464,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,Monthly Elderly Health camp  ,(18th May 2024),Health talk,2024
465,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,observance of world hypertension day 2024,(17th May 2024),Special screening talk,2024
466,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,Family welfare  day ,(21st May 2024),Health talk,2024
467,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,UHND ,(22nd May 2024),Special screening talk,2024
468,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,Sickle cell Test camp,(27th May 2024),Special screening talk,2024
469,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,Menstrual Hygiene Day(28th May 2024),(28th May 2024),Health talk,2024
470,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,Intensified Diarrhoea Control Fortnight(28th May 2024),(29th May 2024),"Other
",2024
471,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,Intensified Diarrhoea Control Fortnight(28th May 2024),(30th May 2024),Community meeting,2024
472,1115712448,UPHC Godda Sadar,Urban Health Centre,Jharkhand,Godda,GODDA,GODDA SADAR,World No Tobacco Day(31st May 2024),(31st May 2024),Health talk,2024
487,1115737221,Govindpur,Urban Health Centre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,Health mela,(14th May 2024),Yoga,2024
488,1115737221,Govindpur,Urban Health Centre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,Yoga,(1st May 2024),Yoga,2024
489,1115737221,Govindpur,Urban Health Centre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,Yoga,(4th May 2024),Yoga,2024
490,1115737221,Govindpur,Urban Health Centre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,Yoga,(8th May 2024),Yoga,2024
491,1115737221,Govindpur,Urban Health Centre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,Yoga,(11th May 2024),Yoga,2024
492,1115737221,Govindpur,Urban Health Centre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,Yoga,(15th May 2024),Yoga,2024
493,1115737221,Govindpur,Urban Health Centre,Jharkhand,Purbi Singhbhum,GOLMURI-CUM-JUGSALAI,GOLMURI,Yoga,(21st May 2024),Yoga,2024
